RRT,DPS21003,DPS21004,DPS21005,DPS21006,DPS21007,DPS21008,DPS21009,DPS21010,DPS21011,DPS21012,DPS21013,DPS21014,DPS21015,DPS21016,DPS21017,DPS21018,DPS21019,DPS21020,DPS21021,DPS21022,DPS22001,DPS22002,DPS22003,DPS22004,DPS22005,DPS22006,DPS22007,DPS22008,DPS22009,DPS22010,DPS22011,DPS22012,DPS22013,DPS22014,DPS22015,DPS22016,DPS22017,DPS22018,DPS22019,DPS22413
0.91,,,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,,,,,0.00,0.00,0.00,,0.00,0.00,,,,0.00,,0.00,,,0.00,0.00,,0.01
0.92,0.00,0.00,,,0.00,0.00,,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.01,0.00,,,,,,,,,,,,
0.93,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,0.00,
0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,
1.00,99.32,99.36,99.34,99.33,99.22,99.35,99.15,99.29,99.24,99.23,99.32,99.31,99.22,99.24,99.23,99.22,99.19,99.24,99.24,99.24,99.25,99.27,99.18,99.16,99.23,99.27,99.30,99.29,99.32,99.16,99.26,99.25,99.31,99.36,99.29,99.32,99.30,99.29,99.19,99.24
1.13,,,,,,,,,,,,,,,,,,,,,,,0.05,0.02,,,,,,,,,,,,,,,,
1.14,,,,,,,,,,,,,,,,,,,,,,,0.05,0.02,,,,,,,,0.02,,0.03,,,,,,
1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,
1.19,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
