Sample Base Name,RRT Mean,% Area Mean
DPS21003,0.19238727335052666,4.1666638888888885
DPS21004,0.23406552616013623,4.9999899999999995
DPS21005,0.21707876044692095,4.761906349206349
DPS21006,0.21966256710673976,4.7619
DPS21007,0.21308944905298471,4.545448484848484
DPS21008,0.21366497895327705,4.545457575757575
DPS21009,0.18814755104577852,4.000002666666667
DPS21010,0.21872466761934595,4.761906349206349
DPS21011,0.2199104407323227,4.76190634920635
DPS21012,0.21975769880945234,4.761906349206349
DPS21013,0.21984704198848187,4.761907936507937
DPS21014,0.22203568032600277,4.761903174603175
DPS21015,0.2221503538917496,4.761906349206349
DPS21016,0.20785287085247042,4.347828985507246
DPS21017,0.1950349494884003,4.166666666666667
DPS21018,0.194252557968159,4.1666694444444445
DPS21019,0.2050549913267244,4.347828985507246
DPS21020,0.21419138894053652,4.545451515151515
DPS21021,0.19538117444244382,4.166673611111111
DPS21022,0.17702386401074896,3.703702469135803
DPS22001,0.23034688774362813,5.000001666666666
DPS22002,0.2204147287459795,4.761904761904762
DPS22003,,4.166629166666667
DPS22004,0.220881141994695,4.761911111111111
DPS22005,0.2279238593844448,5.000001666666666
DPS22006,0.22104249443430732,4.761904761904762
DPS22007,0.22448933561916054,4.8387161290322585
DPS22008,0.2241688230986901,4.761911111111111
DPS22009,0.2284341373214164,4.999995
DPS22010,0.21671949269231108,4.761901587301587
DPS22011,0.21694613659499287,4.761904761904762
DPS22012,0.2431624527401291,5.263159649122807
DPS22013,0.21635707379326244,4.761907936507937
DPS22014,0.2182511261348157,4.761903174603175
DPS22015,0.22492453177711752,4.761898412698413
DPS22016,0.224931566881023,4.761904761904762
DPS22017,0.24991883867402173,5.555562962962963
DPS22018,0.22881352047372305,5.000001666666667
DPS22019,0.22216388402245252,5.084742372881355
DPS22413,0.2096870672438398,4.545457575757576
