Sample Name,Peak Number,Name,RT,Area,Height,% Area,Total Area,Int Type,RRT,Sample Base Name
DPS21003-3,14,18,0.189,4416,107,0.042,10505039,VV,0.012432574661228785,DPS21003
DPS21003-3,15,19,0.293,1041,36,0.0099,10505039,VV,0.019273779765820287,DPS21003
DPS21003-3,16,DP-IMP-1,20.209,44293,1752,0.4216,10505039,VV,1.3293645572950927,DPS21003
DPS21003-3,17,26,0.019,318,11,0.003,10505039,BB,0.0012498355479542164,DPS21003
DPS21003-3,18,28,0.089,813,16,0.0077,10505039,BV,0.005854492829890804,DPS21003
DPS21003-3,19,34,0.165,761,117,0.0072,10505039,VS,0.010853835021707671,DPS21003
DPS21003-3,20,34,0.289,1675,217,0.0159,10505039,SV,0.019010656492566766,DPS21003
DPS22413-2,1,5,0.319,337,23,0.0032,10533696,BB,0.02031458956887219,DPS22413
DPS22413-2,21,37,0.365,3761,421,0.0357,10533696,BB,0.023243966121123352,DPS22413
DPS22413-2,2,7,0.515,970,118,0.0092,10533696,BV,0.03279628096542062,DPS22413
DPS22413-2,22,37,0.751,2509,204,0.0238,10533696,BB,0.047825256320448324,DPS22413
DPS22413-2,3,7,0.692,2020,168,0.0192,10533696,VV,0.04406801248169139,DPS22413
DPS22413-2,4,7,0.934,1357,125,0.0129,10533696,VB,0.059479080430490994,DPS22413
DPS22413-2,5,10,0.11,614,44,0.0058,10533696,BB,0.007005030885817997,DPS22413
DPS22413-2,6,10,0.984,587,22,0.0056,10533696,BB,0.06266318537859009,DPS22413
DPS22413-2,7,12,0.144,746,47,0.0071,10533696,BV,0.009170222250525377,DPS22413
DPS22413-2,8,DP-IMP-3,12.933,1753,70,0.0166,10533696,VV,0.8236005858753105,DPS22413
DPS22413-2,9,13,0.528,1005,46,0.0095,10533696,VV,0.03362414825192639,DPS22413
DPS22413-2,10,DP-IMP-2,14.236,603,35,0.0057,10533696,VB,0.9065783608227728,DPS22413
DPS22413-2,11,DP72,15.703,10453904,263397,99.2425,10533696,BV,1.0,DPS22413
DPS22413-2,12,19,0.016,2060,54,0.0196,10533696,VV,0.0010189135833917086,DPS22413
DPS22413-2,13,20,0.191,1411,53,0.0134,10533696,VV,0.012163280901738523,DPS22413
DPS22413-2,14,DP-IMP-1,20.806,53578,2089,0.5086,10533696,VB,1.3249697510029932,DPS22413
DPS22413-2,15,26,0.605,323,11,0.0031,10533696,BB,0.03852766987199898,DPS22413
DPS22413-2,16,31,0.559,416,33,0.0039,10533696,BB,0.03559829331974782,DPS22413
DPS22413-2,17,34,0.333,1347,115,0.0128,10533696,BB,0.021206138954339936,DPS22413
DPS22413-2,18,35,0.305,719,84,0.0068,10533696,BB,0.019423040183404447,DPS22413
DPS22413-2,19,36,0.052,3397,147,0.0323,10533696,BB,0.003311469146023053,DPS22413
DPS22413-2,20,36,0.851,281,33,0.0027,10533696,BB,0.0541934662166465,DPS22413
DPS22413-3,1,5,0.321,333,23,0.0032,10549098,BB,0.020441953766796153,DPS22413
DPS22413-3,21,37,0.372,3919,435,0.0371,10549098,BB,0.023689740813857225,DPS22413
DPS22413-3,2,7,0.516,1085,118,0.0103,10549098,BV,0.0328599630643826,DPS22413
DPS22413-3,22,37,0.758,2583,209,0.0245,10549098,BB,0.0482710310131822,DPS22413
DPS22413-3,3,7,0.692,1888,167,0.0179,10549098,VV,0.04406801248169139,DPS22413
DPS22413-3,4,7,0.934,1338,123,0.0127,10549098,VB,0.059479080430490994,DPS22413
DPS22413-3,5,10,0.113,642,45,0.0061,10549098,BB,0.007196077182703943,DPS22413
DPS22413-3,6,10,0.821,587,22,0.0056,10549098,BB,0.05228300324778705,DPS22413
DPS22413-3,7,12,0.145,704,44,0.0067,10549098,BV,0.009233904349487359,DPS22413
DPS22413-3,8,DP-IMP-3,12.932,1727,70,0.0164,10549098,VV,0.8235369037763485,DPS22413
DPS22413-3,9,13,0.523,1010,44,0.0096,10549098,VV,0.033305737757116476,DPS22413
DPS22413-3,10,DP-IMP-2,14.239,574,32,0.0054,10549098,VB,0.9067694071196587,DPS22413
DPS22413-3,11,DP72,15.703,10468808,263734,99.2389,10549098,BV,1.0,DPS22413
DPS22413-3,12,18,0.998,2164,55,0.0205,10549098,VV,0.06355473476405783,DPS22413
DPS22413-3,13,20,0.171,1523,56,0.0144,10549098,VV,0.010889638922498886,DPS22413
DPS22413-3,14,DP-IMP-1,20.808,53729,2083,0.5093,10549098,VB,1.325097115200917,DPS22413
DPS22413-3,15,26,0.513,274,10,0.0026,10549098,BB,0.032668916767496656,DPS22413
DPS22413-3,16,31,0.568,422,33,0.004,10549098,BB,0.036171432210405655,DPS22413
DPS22413-3,17,34,0.341,1222,108,0.0116,10549098,BB,0.021715595746035793,DPS22413
DPS22413-3,18,35,0.314,762,86,0.0072,10549098,BB,0.019996179074062283,DPS22413
DPS22413-3,19,36,0.062,3529,149,0.0334,10549098,BB,0.003948290135642871,DPS22413
DPS22413-3,20,36,0.861,274,32,0.0026,10549098,BB,0.05483028720626632,DPS22413
