Sample Base Name,RRT,% Area
DPS21003,0.22388059701492535,0.0073
DPS21003,0.2239179055387449,0.0124
DPS21003,0.22419577659364515,0.012
DPS21003,0.34170556907094485,0.0031
DPS21003,0.34186291277463493,0.003
DPS21003,0.3421485428590224,0.003
DPS21003,0.3511078966401473,0.0016
DPS21003,0.35267416617327807,0.0015
DPS21003,0.35311143270622286,0.0018
DPS21003,0.37846012229600895,0.0013
DPS21003,0.3790290751216945,0.0006
DPS21003,0.37905400960463126,0.0006
DPS21003,0.48526509669780293,0.0293
DPS21003,0.4853705043066605,0.0294
DPS21003,0.48575751595289784,0.0293
DPS21003,0.5089091985008877,0.0135
DPS21003,0.5090777529272464,0.0133
DPS21003,0.509374383264259,0.0134
DPS21003,0.6468885672937771,0.0104
DPS21003,0.6469853376290354,0.0104
DPS21003,0.6472600486810078,0.0115
DPS21003,0.6997172726674995,0.0046
DPS21003,0.7021906453522794,0.0049
DPS21003,0.702276016313643,0.0043
DPS21003,0.7772371622065882,0.003
DPS21003,0.7775292724641495,0.0029
DPS21003,0.7777777777777778,0.0032
DPS21003,0.8240515484252745,0.0117
DPS21003,0.8248256808314696,0.0114
DPS21003,0.8248799421090717,0.0118
DPS21003,0.8565320352585186,0.0106
DPS21003,0.8565323163916102,0.0106
DPS21003,0.8571804486546937,0.0109
DPS21003,0.9218883555789336,0.0022
DPS21003,0.9232287349516479,0.0021
DPS21003,0.9242862781212998,0.0018
DPS21003,1.0,99.32053333333333
DPS21003,1.193503846406733,0.0448
DPS21003,1.1964873043020656,0.042
DPS21003,1.196566015393724,0.0391
DPS21003,1.2691093277200367,0.0099
DPS21003,1.2741140114405944,0.0097
DPS21003,1.2743898427735016,0.0093
DPS21003,1.3287527122098757,0.4233
DPS21003,1.3293645572950927,0.4216
DPS21003,1.3296493651733439,0.4202
DPS21003,1.7099086067460056,0.0039
DPS21003,1.7115511116958293,0.003
DPS21003,1.7136372607065324,0.0033
DPS21003,1.8477174056045256,0.0077
DPS21003,1.8498125123347147,0.0077
DPS21003,1.8501545137747386,0.008
DPS21003,2.246301531987639,0.0071
DPS21003,2.2474016576766216,0.0072
DPS21003,2.247483718176436,0.0077
DPS21003,2.254257347623118,0.0176
DPS21003,2.2555584791474805,0.0159
DPS21003,2.2556410762449834,0.0165
DPS21003,2.3197448878953253,0.0056
DPS21003,2.3205499276411,0.0038
DPS21003,2.320834155647655,0.0038
DPS21003,2.395029258991387,0.0147
DPS21003,2.3962636495198,0.0249
DPS21003,2.3966844286560094,0.0241
DPS21003,2.4566375172595176,0.0263
DPS21003,2.45757137218787,0.0207
DPS21003,2.457733043878692,0.0206
DPS21003,2.4879347754618975,0.0216
DPS21003,2.489080384159979,0.021
DPS21003,2.489244128675745,0.0209
DPS21004,0.22079265533070408,0.0076
DPS21004,0.22079855044327962,0.0076
DPS21004,0.22099948213360954,0.0077
DPS21004,0.33988491627335615,0.0026
DPS21004,0.3405618850336613,0.0025
DPS21004,0.3405811169352229,0.0026
DPS21004,0.3512639813797116,0.0017
DPS21004,0.35189021232522005,0.0017
DPS21004,0.35216462822752864,0.0014
DPS21004,0.3781599534492791,0.0008
DPS21004,0.3781789943700253,0.0007
DPS21004,0.378495598135681,0.0009
DPS21004,0.49014029870045905,0.0296
DPS21004,0.4905843525529024,0.0295
DPS21004,0.4906136716727084,0.0298
DPS21004,0.5069502812439387,0.015
DPS21004,0.5072801397786838,0.0148
DPS21004,0.5073795960642155,0.0149
DPS21004,0.6449214456584987,0.0095
DPS21004,0.6456351517504693,0.0092
DPS21004,0.6456499223200415,0.0088
DPS21004,0.6991659662507274,0.004
DPS21004,0.7015466252507604,0.0036
DPS21004,0.702485758674262,0.0037
DPS21004,0.7753927717075063,0.0038
DPS21004,0.7760875194199897,0.0039
DPS21004,0.7762246812916586,0.0036
DPS21004,0.8244649899786642,0.0138
DPS21004,0.8255354947259432,0.0141
DPS21004,0.8256084930088037,0.0145
DPS21004,0.8597659533199715,0.0088
DPS21004,0.8601113412739514,0.0089
DPS21004,0.8603507409564486,0.009
DPS21004,0.9157445156280334,0.0018
DPS21004,0.9163645779388918,0.0017
DPS21004,0.9171785090838559,0.0015
DPS21004,1.0,99.35823333333333
DPS21004,1.203077519881037,0.0463
DPS21004,1.2041688244432935,0.0472
DPS21004,1.2050087361677344,0.0466
DPS21004,1.3290230813991077,0.399
DPS21004,1.330227140361095,0.3987
DPS21004,1.3303340238218537,0.4003
DPS21004,2.2215685006788646,0.0212
DPS21004,2.2234517569404,0.0209
DPS21004,2.2237182806835833,0.0218
DPS21004,2.285187819228034,0.0066
DPS21004,2.287322849932052,0.0068
DPS21004,2.2875453133091663,0.0065
DPS21004,2.354044093877287,0.0267
DPS21004,2.3551916105644746,0.0151
DPS21004,2.355723807674885,0.0239
DPS21004,2.41772806620547,0.0285
DPS21004,2.4195949006665374,0.0238
DPS21004,2.4201838425686173,0.0284
DPS21004,2.447468804551626,0.0203
DPS21004,2.4494920080243316,0.0198
DPS21004,2.4499611600207145,0.0207
DPS21005,0.21894250513347022,0.0081
DPS21005,0.21908490021176924,0.0073
DPS21005,0.21940413509695644,0.0073
DPS21005,0.34255810966996275,0.0012
DPS21005,0.3426169543733556,0.0013
DPS21005,0.3427233059548255,0.0014
DPS21005,0.4895405544147844,0.0191
DPS21005,0.4896361419495604,0.019
DPS21005,0.49017593424939004,0.0188
DPS21005,0.6445713552361396,0.0012
DPS21005,0.6446768914843097,0.0013
DPS21005,0.6458841659175548,0.0015
DPS21005,0.6996919917864477,0.0036
DPS21005,0.7007636526984534,0.0035
DPS21005,0.7013612430974702,0.0034
DPS21005,0.7737254398356235,0.0024
DPS21005,0.7738561252647115,0.0022
