Sample Name,Peak Number,RT,Area,Height,% Area,Total Area,Int Type
DPS22009-3,16,34.499,1873,129,0.0183,10246880,BB
DPS22009-3,17,35.416,712,46,0.0069,10246880,BB
DPS22009-3,18,36.903,3129,154,0.0305,10246880,BB
DPS22009-3,19,37.463,3618,366,0.0353,10246880,BB
DPS22009-3,20,37.966,2066,187,0.0202,10246880,BB
DPS22010-1,1,5.308,354,24,0.0033,10588243,BB
DPS22010-1,21,37.844,2998,307,0.0283,10588243,BB
DPS22010-1,2,7.538,1644,163,0.0155,10588243,BV
DPS22010-1,3,7.729,1870,170,0.0177,10588243,VV
DPS22010-1,4,7.966,1235,111,0.0117,10588243,VB
DPS22010-1,5,10.175,947,65,0.0089,10588243,BV
DPS22010-1,6,11.061,628,24,0.0059,10588243,VB
DPS22010-1,7,12.227,578,36,0.0055,10588243,BV
DPS22010-1,3,13.050,1321,49,0.0125,10588243,VV
DPS22010-1,9,13.655,652,33,0.0062,10588243,VV
DPS22010-1,2,14.321,371,17,0.0035,10588243,VB
DPS22010-1,72,15.857,10499323,262291,99.1602,10588243,BV
DPS22010-1,12,19.221,2142,64,0.0202,10588243,VV
DPS22010-1,13,20.255,2927,114,0.0276,10588243,VV
DPS22010-1,1,21.012,58778,2283,0.5551,10588243,VB
DPS22010-1,15,26.832,350,12,0.0033,10588243,BB
DPS22010-1,16,34.412,2119,167,0.0200,10588243,BB
DPS22010-1,17,35.343,711,57,0.0067,10588243,BB
DPS22010-1,18,36.112,3761,160,0.0355,10588243,BB
DPS22010-1,19,36.858,358,38,0.0034,10588243,BB
DPS22010-1,20,37.363,5174,523,0.0489,10588243,BB
DPS22010-2,1,5.310,725,31,0.0069,10581401,BB
DPS22010-2,21,37.839,2986,306,0.0282,10581401,BB
DPS22010-2,2,7.539,1620,161,0.0153,10581401,BV
DPS22010-2,3,7.733,1842,168,0.0174,10581401,VV
DPS22010-2,4,7.970,1225,109,0.0116,10581401,VB
DPS22010-2,5,10.181,957,66,0.0090,10581401,BB
DPS22010-2,6,11.074,598,23,0.0056,10581401,BB
DPS22010-2,7,12.233,534,36,0.0050,10581401,BB
DPS22010-2,3,13.056,1271,48,0.0120,10581401,BV
DPS22010-2,9,13.639,587,30,0.0056,10581401,VV
DPS22010-2,2,14.337,304,16,0.0029,10581401,VB
DPS22010-2,72,15.863,10492022,261461,99.1553,10581401,BV
DPS22010-2,12,19.240,2140,61,0.0202,10581401,VV
DPS22010-2,13,20.261,2841,113,0.0268,10581401,VV
DPS22010-2,1,21.019,58923,2288,0.5569,10581401,VB
DPS22010-2,15,26.834,410,12,0.0039,10581401,BB
DPS22010-2,16,34.409,2198,169,0.0208,10581401,BB
DPS22010-2,17,35.338,729,60,0.0069,10581401,BB
DPS22010-2,18,36.096,4007,165,0.0379,10581401,BB
DPS22010-2,19,36.856,348,37,0.0033,10581401,BB
DPS22010-2,20,37.359,5135,520,0.0485,10581401,BB
DPS22010-3,1,5.312,370,25,0.0035,10625163,BB
DPS22010-3,21,37.843,3026,310,0.0285,10625163,BB
DPS22010-3,2,7.539,1621,162,0.0153,10625163,BV
DPS22010-3,3,7.732,1856,170,0.0175,10625163,VV
DPS22010-3,4,7.971,1255,111,0.0118,10625163,VB
DPS22010-3,5,10.175,933,65,0.0088,10625163,BV
DPS22010-3,6,11.087,669,24,0.0063,10625163,VB
DPS22010-3,7,12.234,621,37,0.0058,10625163,BV
DPS22010-3,3,13.053,1261,48,0.0119,10625163,VV
DPS22010-3,9,13.654,660,31,0.0062,10625163,VV
DPS22010-3,2,14.337,425,16,0.0040,10625163,VB
DPS22010-3,72,15.864,10535362,262101,99.1548,10625163,BV
DPS22010-3,12,19.251,2231,62,0.0210,10625163,VV
DPS22010-3,13,20.268,2906,116,0.0273,10625163,VV
DPS22010-3,1,21.020,59134,2291,0.5565,10625163,VB
DPS22010-3,15,26.809,366,12,0.0034,10625163,BB
DPS22010-3,16,34.414,2182,169,0.0205,10625163,BB
DPS22010-3,17,35.342,724,59,0.0068,10625163,BB
DPS22010-3,18,36.109,4035,164,0.0380,10625163,BB
DPS22010-3,19,36.858,346,37,0.0033,10625163,BB
DPS22010-3,20,37.363,5179,525,0.0487,10625163,BB
DPS22011-1,1,5.307,416,25,0.0039,10579101,BB
DPS22011-1,21,37.838,2951,306,0.0279,10579101,BB
DPS22011-1,2,7.537,1709,176,0.0162,10579101,BV
DPS22011-1,3,7.736,1797,162,0.0170,10579101,VV
DPS22011-1,4,7.971,1313,117,0.0124,10579101,VB
DPS22011-1,5,10.185,802,58,0.0076,10579101,BB
DPS22011-1,6,11.080,471,19,0.0045,10579101,BB
DPS22011-1,7,12.237,444,28,0.0042,10579101,BV
DPS22011-1,3,13.036,1058,41,0.0100,10579101,VV
DPS22011-1,9,13.669,728,36,0.0069,10579101,VB
DPS22011-1,2,14.349,147,9,0.0014,10579101,BB
DPS22011-1,72,15.878,10501335,258812,99.2649,10579101,BV
DPS22011-1,12,19.231,2182,62,0.0206,10579101,VV
DPS22011-1,13,20.265,1983,78,0.0187,10579101,VV
DPS22011-1,1,21.030,48676,1887,0.4601,10579101,VB
DPS22011-1,15,26.775,260,10,0.0025,10579101,BB
DPS22011-1,16,34.409,2306,182,0.0218,10579101,BB
DPS22011-1,17,35.337,674,57,0.0064,10579101,BB
DPS22011-1,18,36.109,3915,166,0.0370,10579101,BB
DPS22011-1,19,36.852,473,52,0.0045,10579101,BB
DPS22011-1,20,37.361,5461,556,0.0516,10579101,BB
DPS22011-2,1,5.308,351,23,0.0033,10575636,BB
DPS22011-2,21,37.852,2973,308,0.0281,10575636,BB
DPS22011-2,2,7.539,1736,178,0.0164,10575636,BV
DPS22011-2,3,7.739,1805,162,0.0171,10575636,VV
DPS22011-2,4,7.974,1347,117,0.0127,10575636,VB
DPS22011-2,5,10.188,828,58,0.0078,10575636,BV
DPS22011-2,6,11.061,581,21,0.0055,10575636,VB
