Sample Name,Peak Number,RT,Area,Height,% Area,Total Area,Int Type
DPS22413-3,3,12.932,1727,70,0.0164,10549098,VV
DPS22413-3,9,13.523,1010,44,0.0096,10549098,VV
DPS22413-3,2,14.239,574,32,0.0054,10549098,VB
DPS22413-3,72,15.703,10468808,263734,99.2389,10549098,BV
DPS22413-3,12,18.998,2164,55,0.0205,10549098,VV
DPS22413-3,13,20.171,1523,56,0.0144,10549098,VV
DPS22413-3,1,20.808,53729,2083,0.5093,10549098,VB
DPS22413-3,15,26.513,274,10,0.0026,10549098,BB
DPS22413-3,16,31.568,422,33,0.0040,10549098,BB
DPS22413-3,17,34.341,1222,108,0.0116,10549098,BB
DPS22413-3,18,35.314,762,86,0.0072,10549098,BB
DPS22413-3,19,36.062,3529,149,0.0334,10549098,BB
DPS22413-3,20,36.861,274,32,0.0026,10549098,BB
