Sample Name,Peak Number,Name,RT,Area,Height,% Area,Total Area,Int Type
DPS21003-1,10,DP-IMP-3,12.533,1229,53,0.0117,10473763,VV
DPS21003-1,12,DP-IMP-2,14.021,226,11,0.0022,10473763,VB
DPS21003-1,13,DP72,15.209,10402414,245739,99.3188,10473763,BV
DPS21003-1,16,DP-IMP-1,20.209,44337,1749,0.4233,10473763,VV
DPS21003-2,10,DP-IMP-3,12.539,1241,54,0.0118,10491469,VV
DPS21003-2,12,DP-IMP-2,14.034,221,11,0.0021,10491469,VB
DPS21003-2,13,DP72,15.201,10420387,250243,99.3225,10491469,BV
DPS21003-2,16,DP-IMP-1,20.212,44087,1748,0.4202,10491469,VV
DPS21003-3,10,DP-IMP-3,12.539,1203,53,0.0114,10505039,VV
DPS21003-3,12,DP-IMP-2,14.051,187,10,0.0018,10505039,BB
DPS21003-3,13,DP72,15.202,10433631,248061,99.3203,10505039,BV
DPS21003-3,16,DP-IMP-1,20.209,44293,1752,0.4216,10505039,VV
DPS21004-1,10,DP-IMP-3,12.754,1520,62,0.0145,10453083,VV
DPS21004-1,12,DP-IMP-2,14.156,182,11,0.0017,10453083,VB
DPS21004-1,13,DP72,15.448,10386264,263042,99.3608,10453083,BV
DPS21004-1,15,DP-IMP-1,20.551,41839,1596,0.4003,10453083,VV
DPS21004-2,10,DP-IMP-3,12.752,1395,58,0.0138,10121036,VV
DPS21004-2,12,DP-IMP-2,14.186,155,9,0.0015,10121036,BB
DPS21004-2,13,DP72,15.467,10055511,258546,99.3526,10121036,BV
DPS21004-2,15,DP-IMP-1,20.556,40385,1547,0.3990,10121036,VV
DPS21004-3,10,DP-IMP-3,12.757,1472,61,0.0141,10434185,VV
DPS21004-3,12,DP-IMP-2,14.151,191,9,0.0018,10434185,VB
DPS21004-3,13,DP72,15.453,10367545,263302,99.3613,10434185,BV
DPS21004-3,15,DP-IMP-1,20.556,41604,1594,0.3987,10434185,VV
DPS21005-1,7,DP-IMP-3,12.823,3115,122,0.0300,10393111,VV
DPS21005-1,9,DP-IMP-2,14.236,147,8,0.0014,10393111,VB
DPS21005-1,10,DP72,15.584,10328400,250687,99.3774,10393111,BS
DPS21005-1,12,DP-IMP-1,20.680,36862,1473,0.3547,10393111,VV
DPS21005-2,7,DP-IMP-3,12.826,3157,123,0.0299,10552545,VV
DPS21005-2,9,DP-IMP-2,14.248,146,9,0.0014,10552545,VB
DPS21005-2,10,DP72,15.583,10481313,251028,99.3250,10552545,BV
DPS21005-2,12,DP-IMP-1,20.680,37560,1493,0.3559,10552545,VV
DPS21005-3,7,DP-IMP-3,12.829,3276,126,0.0304,10773159,VV
DPS21005-3,9,DP-IMP-2,14.220,124,8,0.0012,10773159,BB
DPS21005-3,10,DP72,15.574,10700278,254941,99.3235,10773159,BV
DPS21005-3,12,DP-IMP-1,20.685,38350,1525,0.3560,10773159,VV
DPS21006-1,10,DP-IMP-3,12.819,1138,47,0.0108,10543982,BV
DPS21006-1,12,DP-IMP-2,14.251,123,8,0.0012,10543982,BB
DPS21006-1,13,DP72,15.582,10471296,251404,99.3106,10543982,BV
DPS21006-1,15,DP-IMP-1,20.682,44200,1722,0.4192,10543982,VV
DPS21006-2,10,DP-IMP-3,12.833,1144,49,0.0109,10516801,VV
DPS21006-2,12,DP-IMP-2,14.232,225,10,0.0021,10516801,VB
