Sample Name,Peak Number,Name,RT,Area,Height,% Area,Total Area,Int Type
DPS21006-2,13,DP72,15.587,10448194,251027,99.3476,10516801,BV
DPS21006-2,15,DP-IMP-1,20.685,43737,1710,0.4159,10516801,VB
DPS21006-3,10,DP-IMP-3,12.828,1147,49,0.0109,10532399,BV
DPS21006-3,12,DP-IMP-2,14.224,152,9,0.0014,10532399,VB
DPS21006-3,13,DP72,15.588,10463034,251160,99.3414,10532399,BV
DPS21006-3,15,DP-IMP-1,20.687,44398,1721,0.4215,10532399,VV
DPS21007-1,10,DP-IMP-3,12.772,1244,52,0.0119,10471965,VV
DPS21007-1,12,DP-IMP-2,14.195,243,12,0.0023,10471965,VB
DPS21007-1,13,DP72,15.460,10390909,264898,99.2260,10471965,BV
DPS21007-1,15,DP-IMP-1,20.582,54827,2135,0.5236,10471965,VV
DPS21007-2,10,DP-IMP-3,12.773,1256,52,0.0119,10508275,VV
DPS21007-2,12,DP-IMP-2,14.191,247,12,0.0023,10508275,VB
DPS21007-2,13,DP72,15.459,10424269,265491,99.2006,10508275,BV
DPS21007-2,15,DP-IMP-1,20.583,55005,2136,0.5234,10508275,VV
DPS21007-3,10,DP-IMP-3,12.775,1233,52,0.0118,10489646,VV
DPS21007-3,12,DP-IMP-2,14.203,199,12,0.0019,10489646,VB
DPS21007-3,13,DP72,15.464,10408215,264696,99.2237,10489646,BV
DPS21007-3,15,DP-IMP-1,20.587,54593,2125,0.5204,10489646,VV
DPS21008-1,10,DP-IMP-3,12.767,1515,64,0.0144,10544446,VV
DPS21008-1,12,DP-IMP-2,14.213,157,9,0.0015,10544446,BB
DPS21008-1,13,DP72,15.465,10474825,265695,99.3397,10544446,BV
DPS21008-1,15,DP-IMP-1,20.593,45597,1760,0.4324,10544446,VV
DPS21008-2,10,DP-IMP-3,12.773,1488,63,0.0141,10531562,VV
DPS21008-2,12,DP-IMP-2,14.209,181,10,0.0017,10531562,VB
DPS21008-2,13,DP72,15.468,10462852,265004,99.3476,10531562,BV
DPS21008-2,15,DP-IMP-1,20.594,45356,1759,0.4307,10531562,VV
DPS21008-3,10,DP-IMP-3,12.773,1498,63,0.0143,10503398,VV
DPS21008-3,12,DP-IMP-2,14.187,177,10,0.0017,10503398,VB
DPS21008-3,13,DP72,15.471,10435095,264559,99.3497,10503398,BV
DPS21008-3,15,DP-IMP-1,20.597,45093,1756,0.4293,10503398,VB
DPS21009-1,9,DP-IMP-3,12.796,1351,65,0.0129,10505719,BV
DPS21009-1,11,DP-IMP-2,14.191,449,23,0.0043,10505719,VB
DPS21009-1,12,DP72,15.524,10418026,259619,99.1653,10505719,BV
DPS21009-1,15,DP-IMP-1,20.620,48555,1927,0.4622,10505719,VV
DPS21009-2,9,DP-IMP-3,12.800,1363,65,0.0129,10535219,VV
DPS21009-2,11,DP-IMP-2,14.191,369,21,0.0035,10535219,BB
DPS21009-2,12,DP72,15.525,10445273,260088,99.1462,10535219,BV
DPS21009-2,15,DP-IMP-1,20.623,47717,1890,0.4529,10535219,VV
DPS21009-3,9,DP-IMP-3,12.798,1418,65,0.0135,10527541,VV
DPS21009-3,11,DP-IMP-2,14.180,387,21,0.0037,10527541,VB
DPS21009-3,12,DP72,15.534,10436329,257425,99.1336,10527541,BV
DPS21009-3,15,DP-IMP-1,20.622,47587,1898,0.4520,10527541,VB
DPS21010-1,8,DP-IMP-3,12.797,1221,49,0.0116,10516276,VV
DPS21010-1,10,DP-IMP-2,14.207,197,10,0.0019,10516276,VB
DPS21010-1,11,DP72,15.536,10440691,256661,99.2813,10516276,BV
DPS21010-1,14,DP-IMP-1,20.626,41604,1653,0.3956,10516276,VB
DPS21010-2,8,DP-IMP-3,12.799,1335,53,0.0127,10495864,VV
DPS21010-2,10,DP-IMP-2,14.210,232,11,0.0022,10495864,VB
DPS21010-2,11,DP72,15.532,10421224,258112,99.2889,10495864,BV
DPS21010-2,14,DP-IMP-1,20.627,41564,1651,0.3960,10495864,VB
DPS21010-3,8,DP-IMP-3,12.797,1344,53,0.0128,10505680,VV
DPS21010-3,10,DP-IMP-2,14.229,237,10,0.0023,10505680,VB
DPS21010-3,11,DP72,15.548,10430896,253114,99.2882,10505680,BV
DPS21010-3,14,DP-IMP-1,20.627,41449,1647,0.3945,10505680,VB
DPS21011-1,8,DP-IMP-3,12.809,1209,47,0.0115,10498622,VV
DPS21011-1,10,DP-IMP-2,14.193,211,11,0.0020,10498622,VB
DPS21011-1,11,DP72,15.568,10420188,256113,99.2529,10498622,BV
DPS21011-1,14,DP-IMP-1,20.666,51270,2025,0.4883,10498622,VV
DPS21011-2,8,DP-IMP-3,12.814,1210,47,0.0115,10511316,VV
DPS21011-2,10,DP-IMP-2,14.188,177,10,0.0017,10511316,BB
DPS21011-2,11,DP72,15.569,10431091,256289,99.2368,10511316,BV
DPS21011-2,14,DP-IMP-1,20.668,51208,2026,0.4872,10511316,VV
DPS21011-3,8,DP-IMP-3,12.813,1179,46,0.0112,10491276,VV
DPS21011-3,10,DP-IMP-2,14.215,180,10,0.0017,10491276,BB
DPS21011-3,11,DP72,15.574,10411414,255866,99.2388,10491276,BV
DPS21011-3,14,DP-IMP-1,20.672,51066,2021,0.4867,10491276,VV
DPS21012-1,9,DP-IMP-3,12.811,1362,55,0.0130,10449732,VV
DPS21012-1,11,DP-IMP-2,14.166,220,13,0.0021,10449732,BB
DPS21012-1,12,DP72,15.602,10369987,248575,99.2369,10449732,BV
DPS21012-1,15,DP-IMP-1,20.648,53836,2093,0.5152,10449732,VV
DPS21012-2,9,DP-IMP-3,12.819,1387,56,0.0133,10433126,VV
DPS21012-2,11,DP-IMP-2,14.179,273,14,0.0026,10433126,VB
DPS21012-2,12,DP72,15.608,10353038,247634,99.2324,10433126,BV
DPS21012-2,15,DP-IMP-1,20.653,53277,2083,0.5107,10433126,VV
DPS21012-3,9,DP-IMP-3,12.821,1384,56,0.0132,10492386,VV
DPS21012-3,11,DP-IMP-2,14.160,268,15,0.0026,10492386,VB
DPS21012-3,12,DP72,15.600,10412052,249809,99.2344,10492386,BV
DPS21012-3,15,DP-IMP-1,20.652,53623,2095,0.5111,10492386,VV
DPS21013-1,9,DP-IMP-3,12.815,1206,48,0.0115,10459284,VV
DPS21013-1,11,DP-IMP-2,14.188,183,10,0.0017,10459284,VB
DPS21013-1,12,DP72,15.604,10388658,249300,99.3248,10459284,BV
DPS21013-1,15,DP-IMP-1,20.656,44675,1754,0.4271,10459284,VB
DPS21013-2,9,DP-IMP-3,12.820,1207,48,0.0115,10496025,VV
DPS21013-2,11,DP-IMP-2,14.172,196,9,0.0019,10496025,VB
DPS21013-2,12,DP72,15.608,10424651,248926,99.3200,10496025,BV
DPS21013-2,15,DP-IMP-1,20.661,45160,1762,0.4303,10496025,VV
DPS21013-3,9,DP-IMP-3,12.820,1219,49,0.0116,10493999,VV
DPS21013-3,11,DP-IMP-2,14.214,223,9,0.0021,10493999,VB
DPS21013-3,12,DP72,15.608,10421373,249374,99.3079,10493999,BV
DPS21013-3,15,DP-IMP-1,20.663,45837,1770,0.4368,10493999,VV
DPS21014-1,8,DP-IMP-3,12.835,1094,44,0.0103,10580442,VV
DPS21014-1,10,DP-IMP-2,14.193,336,16,0.0032,10580442,VB
DPS21014-1,11,DP72,15.595,10507778,255505,99.3132,10580442,BV
DPS21014-1,14,DP-IMP-1,20.670,46819,1823,0.4425,10580442,VV
DPS21014-2,8,DP-IMP-3,12.828,1104,43,0.0105,10544238,VV
DPS21014-2,10,DP-IMP-2,14.196,332,18,0.0031,10544238,VB
DPS21014-2,11,DP72,15.597,10470991,255565,99.3053,10544238,BV
DPS21014-2,14,DP-IMP-1,20.668,46290,1813,0.4390,10544238,VV
DPS21014-3,8,DP-IMP-3,12.844,1082,43,0.0103,10537474,VV
DPS21014-3,10,DP-IMP-2,14.201,315,17,0.0030,10537474,VB
DPS21014-3,11,DP72,15.601,10463733,254291,99.3002,10537474,BV
DPS21014-3,14,DP-IMP-1,20.674,46611,1824,0.4423,10537474,VV
DPS21015-1,8,DP-IMP-3,12.844,993,39,0.0094,10534127,VV
DPS21015-1,10,DP-IMP-2,14.227,200,10,0.0019,10534127,VB
DPS21015-1,11,DP72,15.605,10451590,255784,99.2165,10534127,BV
DPS21015-1,14,DP-IMP-1,20.673,56256,2191,0.5340,10534127,VV
DPS21015-2,8,DP-IMP-3,12.835,946,39,0.0090,10513945,VV
DPS21015-2,10,DP-IMP-2,14.229,194,9,0.0018,10513945,BB
DPS21015-2,11,DP72,15.607,10431833,254749,99.2190,10513945,BV
DPS21015-2,14,DP-IMP-1,20.674,56074,2201,0.5333,10513945,VV
DPS21015-3,8,DP-IMP-3,12.840,983,39,0.0093,10524679,VV
DPS21015-3,10,DP-IMP-2,14.245,145,9,0.0014,10524679,VB
DPS21015-3,11,DP72,15.613,10442081,253123,99.2152,10524679,BV
DPS21015-3,14,DP-IMP-1,20.678,56732,2217,0.5390,10524679,VV
DPS21016-1,8,DP-IMP-3,12.867,1546,63,0.0148,10465324,VV
DPS21016-1,10,DP-IMP-2,14.203,428,21,0.0041,10465324,VB
DPS21016-1,11,DP72,15.611,10386745,269457,99.2491,10465324,BV
DPS21016-1,14,DP-IMP-1,20.730,50215,1991,0.4798,10465324,VB
DPS21016-2,8,DP-IMP-3,12.870,1480,62,0.0142,10453053,VV
DPS21016-2,10,DP-IMP-2,14.203,390,22,0.0037,10453053,VB
DPS21016-2,11,DP72,15.632,10373430,261583,99.2383,10453053,BV
DPS21016-2,14,DP-IMP-1,20.732,50173,1985,0.4800,10453053,VV
DPS21016-3,8,DP-IMP-3,12.878,1429,59,0.0137,10471065,VV
DPS21016-3,10,DP-IMP-2,14.231,379,21,0.0036,10471065,VB
DPS21016-3,11,DP72,15.615,10391125,270786,99.2366,10471065,BV
DPS21016-3,14,DP-IMP-1,20.739,50288,1989,0.4803,10471065,VV
DPS21017-1,10,DP-IMP-3,13.031,1328,55,0.0127,10464891,VV
DPS21017-1,12,DP-IMP-2,14.305,323,14,0.0031,10464891,VB
DPS21017-1,13,DP72,15.893,10385307,243308,99.2395,10464891,BV
DPS21017-1,16,DP-IMP-1,20.984,50045,1931,0.4782,10464891,VV
DPS21017-2,10,DP-IMP-3,13.022,1469,60,0.0140,10473574,VV
DPS21017-2,12,DP-IMP-2,14.330,439,15,0.0042,10473574,VB
DPS21017-2,13,DP72,15.892,10391452,243568,99.2159,10473574,BV
DPS21017-2,16,DP-IMP-1,20.984,50430,1929,0.4815,10473574,VV
DPS21017-3,10,DP-IMP-3,13.018,1415,57,0.0135,10468399,VV
DPS21017-3,12,DP-IMP-2,14.332,255,12,0.0024,10468399,VB
DPS21017-3,13,DP72,15.893,10386944,243574,99.2219,10468399,BV
DPS21017-3,16,DP-IMP-1,20.984,50414,1937,0.4816,10468399,VV
DPS21018-1,10,DP-IMP-3,13.017,1087,47,0.0104,10475067,VV
DPS21018-1,12,DP-IMP-2,14.325,156,7,0.0015,10475067,VV
DPS21018-1,13,DP72,15.895,10393267,244025,99.2191,10475067,BV
DPS21018-1,16,DP-IMP-1,20.987,51603,1992,0.4926,10475067,VV
DPS21018-2,10,DP-IMP-3,13.025,1188,50,0.0114,10465138,VV
DPS21018-2,12,DP-IMP-2,14.306,259,10,0.0025,10465138,VB
DPS21018-2,13,DP72,15.899,10383629,243688,99.2211,10465138,BV
DPS21018-2,16,DP-IMP-1,20.989,51843,1990,0.4954,10465138,VV
DPS21018-3,10,DP-IMP-3,13.036,1168,49,0.0111,10475463,VV
DPS21018-3,12,DP-IMP-2,14.327,202,9,0.0019,10475463,VB
DPS21018-3,13,DP72,15.901,10394033,243132,99.2227,10475463,BV
DPS21018-3,16,DP-IMP-1,20.991,51696,1991,0.4935,10475463,VV
DPS21019-1,9,DP-IMP-3,12.761,1283,54,0.0122,10509138,VV
DPS21019-1,11,DP-IMP-2,14.106,248,10,0.0024,10509138,VB
DPS21019-1,12,DP72,15.499,10424758,257391,99.1971,10509138,BV
DPS21019-1,15,DP-IMP-1,20.580,51508,2037,0.4901,10509138,VV
DPS21019-2,9,DP-IMP-3,12.772,1206,53,0.0114,10544014,VV
DPS21019-2,11,DP-IMP-2,14.106,226,11,0.0021,10544014,VB
DPS21019-2,12,DP72,15.499,10459021,257827,99.1939,10544014,BV
DPS21019-2,15,DP-IMP-1,20.581,51543,2043,0.4888,10544014,VV
DPS21019-3,9,DP-IMP-3,12.772,1313,54,0.0124,10609386,VV
DPS21019-3,11,DP-IMP-2,14.160,322,14,0.0030,10609386,VB
DPS21019-3,12,DP72,15.496,10521586,259430,99.1724,10609386,BV
DPS21019-3,15,DP-IMP-1,20.583,52536,2068,0.4952,10609386,VV
DPS21020-1,9,DP-IMP-3,12.766,1227,51,0.0117,10500273,VV
DPS21020-1,11,DP-IMP-2,14.125,233,9,0.0022,10500273,VB
DPS21020-1,12,DP72,15.501,10420083,257270,99.2363,10500273,BV
DPS21020-1,15,DP-IMP-1,20.583,47706,1877,0.4543,10500273,VV
DPS21020-2,9,DP-IMP-3,12.763,1225,50,0.0116,10522800,VV
DPS21020-2,11,DP-IMP-2,14.168,224,10,0.0021,10522800,VB
DPS21020-2,12,DP72,15.502,10443215,257489,99.2437,10522800,BV
DPS21020-2,15,DP-IMP-1,20.584,47729,1885,0.4536,10522800,VV
DPS21020-3,9,DP-IMP-3,12.773,1241,50,0.0118,10534876,VV
DPS21020-3,11,DP-IMP-2,14.163,193,10,0.0018,10534876,VB
DPS21020-3,12,DP72,15.503,10455307,258170,99.2447,10534876,BV
DPS21020-3,15,DP-IMP-1,20.586,47518,1882,0.4511,10534876,VV
DPS21021-1,8,DP-IMP-3,12.581,1093,45,0.0104,10463834,BV
DPS21021-1,10,DP-IMP-2,14.075,134,7,0.0013,10463834,BB
DPS21021-1,11,DP72,15.214,10386342,248398,99.2594,10463834,BV
DPS21021-1,14,DP-IMP-1,20.274,53365,2121,0.5100,10463834,VV
DPS21021-2,8,DP-IMP-3,12.577,1174,48,0.0112,10510362,VV
DPS21021-2,10,DP-IMP-2,14.027,205,9,0.0020,10510362,VV
DPS21021-2,11,DP72,15.207,10429647,250186,99.2320,10510362,VV
DPS21021-2,14,DP-IMP-1,20.273,53674,2135,0.5107,10510362,VV
DPS21021-3,8,DP-IMP-3,12.564,1136,47,0.0113,10088573,VV
DPS21021-3,10,DP-IMP-2,14.052,218,10,0.0022,10088573,VB
DPS21021-3,11,DP72,15.230,10011463,243113,99.2357,10088573,BV
DPS21021-3,14,DP-IMP-1,20.274,51392,2054,0.5094,10088573,VV
DPS21022-1,9,DP-IMP-3,12.569,1860,81,0.0187,9956067,VV
DPS21022-1,11,DP-IMP-2,14.066,287,15,0.0029,9956067,VV
DPS21022-1,12,DP72,15.237,9880072,241512,99.2367,9956067,VV
DPS21022-1,15,DP-IMP-1,20.278,46037,1836,0.4624,9956067,VV
DPS21022-2,9,DP-IMP-3,12.571,1940,83,0.0191,10149683,VV
DPS21022-2,11,DP-IMP-2,14.059,294,16,0.0029,10149683,BB
DPS21022-2,12,DP72,15.228,10072955,243956,99.2440,10149683,BV
DPS21022-2,15,DP-IMP-1,20.278,46538,1859,0.4585,10149683,VV
DPS21022-3,9,DP-IMP-3,12.567,2005,86,0.0191,10486474,VV
DPS21022-3,11,DP-IMP-2,14.063,283,15,0.0027,10486474,BV
DPS21022-3,12,DP72,15.211,10406140,249140,99.2339,10486474,VV
DPS21022-3,15,DP-IMP-1,20.276,48869,1934,0.4660,10486474,VV
DPS22001-1,7,DP-IMP-3,12.677,1099,45,0.0104,10540441,VV
DPS22001-1,9,DP-IMP-2,14.102,190,9,0.0018,10540441,VB
DPS22001-1,10,DP72,15.341,10462293,274004,99.2586,10540441,BV
DPS22001-1,13,DP-IMP-1,20.410,52723,2119,0.5002,10540441,VB
DPS22001-2,7,DP-IMP-3,12.683,1107,45,0.0105,10516109,VV
DPS22001-2,9,DP-IMP-2,14.083,274,11,0.0026,10516109,VB
DPS22001-2,10,DP72,15.344,10436865,273816,99.2465,10516109,BV
DPS22001-2,13,DP-IMP-1,20.412,52092,2092,0.4954,10516109,VB
DPS22001-3,7,DP-IMP-3,12.678,1153,46,0.0110,10476411,VV
DPS22001-3,9,DP-IMP-2,14.100,132,8,0.0013,10476411,VB
DPS22001-3,10,DP72,15.348,10396939,272088,99.2414,10476411,BV
DPS22001-3,13,DP-IMP-1,20.415,52254,2106,0.4988,10476411,VV
DPS22002-1,8,DP-IMP-3,12.672,849,36,0.0081,10521777,BV
DPS22002-1,10,DP-IMP-2,14.100,146,8,0.0014,10521777,BB
DPS22002-1,11,DP72,15.349,10445879,272936,99.2787,10521777,BV
DPS22002-1,14,DP-IMP-1,20.419,48957,1966,0.4653,10521777,VB
DPS22002-2,8,DP-IMP-3,12.684,891,36,0.0085,10509729,VV
DPS22002-2,10,DP-IMP-2,14.080,174,9,0.0017,10509729,VB
DPS22002-2,11,DP72,15.352,10433274,272926,99.2725,10509729,BV
DPS22002-2,14,DP-IMP-1,20.420,48769,1965,0.4640,10509729,VB
DPS22002-3,8,DP-IMP-3,12.680,849,36,0.0081,10502084,VV
DPS22002-3,10,DP-IMP-2,14.107,173,8,0.0016,10502084,BB
DPS22002-3,11,DP72,15.352,10425228,272731,99.2682,10502084,BV
DPS22002-3,14,DP-IMP-1,20.419,49150,1965,0.4680,10502084,VV
DPS22004-1,7,DP-IMP-3,12.698,992,42,0.0111,8974239,VV
DPS22004-1,9,DP-IMP-2,14.100,197,11,0.0022,8974239,VB
DPS22004-1,10,DP72,15.471,8898825,242104,99.1597,8974239,BV
DPS22004-1,14,DP-IMP-1,20.456,46626,1879,0.5196,8974239,VB
DPS22004-2,7,DP-IMP-3,12.697,1078,45,0.0106,10140795,VV
DPS22004-2,9,DP-IMP-2,14.069,208,11,0.0020,10140795,VB
DPS22004-2,10,DP72,15.412,10055783,260621,99.1617,10140795,BS
DPS22004-2,14,DP-IMP-1,20.454,52790,2110,0.5206,10140795,VB
DPS22004-3,7,DP-IMP-3,12.702,1124,47,0.0110,10247872,VV
DPS22004-3,9,DP-IMP-2,14.086,288,11,0.0028,10247872,BB
DPS22004-3,10,DP72,15.407,10162656,262894,99.1684,10247872,BV
DPS22004-3,14,DP-IMP-1,20.454,53193,2128,0.5191,10247872,VB
DPS22005-1,8,DP-IMP-3,12.825,1110,41,0.0106,10505864,VV
DPS22005-1,10,DP-IMP-2,14.186,258,9,0.0025,10505864,VB
DPS22005-1,11,DP72,15.565,10425424,263540,99.2343,10505864,BV
DPS22005-1,14,DP-IMP-1,20.661,53127,2080,0.5057,10505864,VB
DPS22005-2,8,DP-IMP-3,12.830,1127,43,0.0107,10523807,VV
DPS22005-2,10,DP-IMP-2,14.239,277,10,0.0026,10523807,VB
DPS22005-2,11,DP72,15.560,10442498,264981,99.2274,10523807,BV
DPS22005-2,14,DP-IMP-1,20.661,52970,2074,0.5033,10523807,VB
DPS22005-3,8,DP-IMP-3,12.841,955,38,0.0091,10503736,BV
DPS22005-3,10,DP-IMP-2,14.187,263,11,0.0025,10503736,VB
DPS22005-3,11,DP72,15.568,10423431,263934,99.2355,10503736,BV
DPS22005-3,14,DP-IMP-1,20.666,52529,2062,0.5001,10503736,VB
DPS22006-1,8,DP-IMP-3,12.751,1344,55,0.0128,10508230,VV
DPS22006-1,10,DP-IMP-2,14.153,201,13,0.0019,10508230,VB
DPS22006-1,11,DP72,15.447,10431476,269520,99.2696,10508230,BV
DPS22006-1,14,DP-IMP-1,20.551,48402,1968,0.4606,10508230,VB
DPS22006-2,8,DP-IMP-3,12.753,1404,56,0.0134,10506256,VV
DPS22006-2,10,DP-IMP-2,14.140,208,13,0.0020,10506256,VB
DPS22006-2,11,DP72,15.444,10428784,270601,99.2626,10506256,BV
DPS22006-2,14,DP-IMP-1,20.551,48264,1949,0.4594,10506256,VB
DPS22006-3,8,DP-IMP-3,12.757,1367,54,0.0130,10522052,VV
DPS22006-3,10,DP-IMP-2,14.145,224,12,0.0021,10522052,BB
DPS22006-3,11,DP72,15.447,10444638,270093,99.2643,10522052,BV
DPS22006-3,14,DP-IMP-1,20.553,48290,1951,0.4589,10522052,VB
DPS22007-1,8,DP-IMP-3,12.705,1699,61,0.0162,10508191,VV
DPS22007-1,10,DP-IMP-2,14.066,903,23,0.0086,10508191,VV
DPS22007-1,11,DP72,15.310,10431805,277589,99.2731,10508191,VV
DPS22007-1,13,DP-IMP-1,20.247,44660,1747,0.4250,10508191,VB
DPS22007-2,8,DP-IMP-3,12.753,1116,47,0.0106,10488467,VV
DPS22007-2,10,DP-IMP-2,14.140,258,12,0.0025,10488467,BV
DPS22007-2,11,DP72,15.456,10416346,269687,99.3124,10488467,VV
DPS22007-2,14,DP-IMP-1,20.556,42284,1703,0.4032,10488467,VB
DPS22007-3,8,DP-IMP-3,12.754,1249,49,0.0119,10499286,VV
DPS22007-3,10,DP-IMP-2,14.153,307,13,0.0029,10499286,VB
DPS22007-3,11,DP72,15.458,10426988,270129,99.3114,10499286,BV
DPS22007-3,14,DP-IMP-1,20.560,42077,1696,0.4008,10499286,VB
DPS22008-1,7,DP-IMP-3,12.752,1268,49,0.0120,10538329,VV
DPS22008-1,9,DP-IMP-2,14.126,286,14,0.0027,10538329,VB
DPS22008-1,10,DP72,15.440,10463261,268825,99.2877,10538329,BV
DPS22008-1,13,DP-IMP-1,20.518,44690,1783,0.4241,10538329,VB
DPS22008-2,7,DP-IMP-3,12.748,1202,49,0.0114,10504802,VV
DPS22008-2,9,DP-IMP-2,14.132,276,14,0.0026,10504802,VB
DPS22008-2,10,DP72,15.446,10430455,267193,99.2923,10504802,BV
DPS22008-2,13,DP-IMP-1,20.521,44401,1772,0.4227,10504802,VB
DPS22008-3,7,DP-IMP-3,12.755,1186,47,0.0113,10499631,VV
DPS22008-3,9,DP-IMP-2,14.144,353,15,0.0034,10499631,VB
DPS22008-3,10,DP72,15.446,10424842,267213,99.2877,10499631,BV
DPS22008-3,13,DP-IMP-1,20.519,44549,1770,0.4243,10499631,VB
DPS22009-1,8,DP-IMP-3,13.075,946,38,0.0092,10280388,VV
DPS22009-1,10,DP-IMP-2,14.305,268,11,0.0026,10280388,VB
DPS22009-1,11,DP72,15.922,10211141,261539,99.3264,10280388,BV
DPS22009-1,14,DP-IMP-1,21.058,45165,1762,0.4393,10280388,VB
DPS22009-2,8,DP-IMP-3,13.077,1062,41,0.0100,10568063,VV
DPS22009-2,10,DP-IMP-2,14.315,286,11,0.0027,10568063,VB
DPS22009-2,11,DP72,15.900,10495806,268442,99.3163,10568063,BV
DPS22009-2,14,DP-IMP-1,21.061,46723,1816,0.4421,10568063,VB
DPS22009-3,8,DP-IMP-3,13.093,998,38,0.0097,10246880,VV
DPS22009-3,10,DP-IMP-2,14.331,272,10,0.0027,10246880,VB
DPS22009-3,11,DP72,15.920,10177123,263016,99.3192,10246880,BV
DPS22009-3,14,DP-IMP-1,21.064,45542,1765,0.4444,10246880,VB
DPS22010-1,8,DP-IMP-3,13.050,1321,49,0.0125,10588243,VV
DPS22010-1,10,DP-IMP-2,14.321,371,17,0.0035,10588243,VB
DPS22010-1,11,DP72,15.857,10499323,262291,99.1602,10588243,BV
DPS22010-1,14,DP-IMP-1,21.012,58778,2283,0.5551,10588243,VB
DPS22010-2,8,DP-IMP-3,13.056,1271,48,0.0120,10581401,BV
DPS22010-2,10,DP-IMP-2,14.337,304,16,0.0029,10581401,VB
DPS22010-2,11,DP72,15.863,10492022,261461,99.1553,10581401,BV
DPS22010-2,14,DP-IMP-1,21.019,58923,2288,0.5569,10581401,VB
DPS22010-3,8,DP-IMP-3,13.053,1261,48,0.0119,10625163,VV
DPS22010-3,10,DP-IMP-2,14.337,425,16,0.0040,10625163,VB
DPS22010-3,11,DP72,15.864,10535362,262101,99.1548,10625163,BV
DPS22010-3,14,DP-IMP-1,21.020,59134,2291,0.5565,10625163,VB
DPS22011-1,8,DP-IMP-3,13.036,1058,41,0.0100,10579101,VV
DPS22011-1,10,DP-IMP-2,14.349,147,9,0.0014,10579101,BB
DPS22011-1,11,DP72,15.878,10501335,258812,99.2649,10579101,BV
DPS22011-1,14,DP-IMP-1,21.030,48676,1887,0.4601,10579101,VB
DPS22011-2,8,DP-IMP-3,13.079,1039,39,0.0098,10575636,VV
DPS22011-2,10,DP-IMP-2,14.333,211,9,0.0020,10575636,VB
DPS22011-2,11,DP72,15.869,10497140,264273,99.2578,10575636,BV
